Iteration,Train_Loss,Val_Loss
1,0.6798705458641052,0.6823961138725281
2,0.6720095872879028,0.6784713864326477
3,0.6652998328208923,0.6746468544006348
4,0.6587782502174377,0.6716344356536865
5,0.653100848197937,0.6700666546821594
6,0.6480825543403625,0.6691670417785645
7,0.6436737775802612,0.6671911478042603
8,0.6383687853813171,0.6655641198158264
9,0.6348274350166321,0.6648502349853516
10,0.6311085224151611,0.6640928387641907
11,0.6275690197944641,0.6644080281257629
12,0.6236749887466431,0.6649616360664368
13,0.6199339628219604,0.6653120517730713
14,0.6168157458305359,0.6653928160667419
15,0.6129074692726135,0.6652640700340271
16,0.6110875010490417,0.6649534106254578
17,0.6074755787849426,0.6647118926048279
18,0.605341911315918,0.6649057865142822
19,0.602471113204956,0.6644308567047119
20,0.6006082892417908,0.6646650433540344
21,0.5967949628829956,0.6656410694122314
22,0.5944787859916687,0.6651485562324524
23,0.5927724242210388,0.664997398853302
24,0.5918150544166565,0.6650153398513794
25,0.5905349254608154,0.6658316254615784
26,0.588714599609375,0.6656489372253418
27,0.5858691930770874,0.6660299897193909
28,0.5845084190368652,0.6663933396339417
29,0.5836684107780457,0.666495680809021
30,0.580625593662262,0.6663963198661804
