threshold,accuracy,precision,recall,f1,specificity,npv
0.25,0.455,0.455,1.0,0.6254295532646048,0.0,0.0
0.3,0.455,0.455,1.0,0.6254295532646048,0.0,0.0
0.35,0.4725,0.4620418848167539,0.9697802197802198,0.625886524822695,0.05733944954128441,0.6944444444444444
0.4,0.5225,0.48426573426573427,0.760989010989011,0.5918803418803419,0.32339449541284404,0.618421052631579
0.45,0.5875,0.5467032967032966,0.5467032967032966,0.5467032967032966,0.6215596330275229,0.6215596330275229
0.5,0.6225,0.6396396396396397,0.3901098901098901,0.48464163822525597,0.8165137614678899,0.615916955017301
0.55,0.61125,0.6962962962962963,0.25824175824175827,0.37675350701402804,0.9059633027522935,0.5939849624060151
0.6,0.57625,0.6666666666666666,0.13736263736263737,0.22779043280182235,0.9426605504587156,0.5668965517241379
